default		00:00:02.740	2.74	00:00:04.150	4.15	00:00:01.410	1.41	zoom_in
default		00:00:05.980	5.98	00:00:07.190	7.19	00:00:01.210	1.21	zoom_in
default		00:00:08.590	8.59	00:00:10.010	10.01	00:00:01.420	1.42	zoom_in
default		00:00:11.490	11.49	00:00:12.830	12.83	00:00:01.340	1.34	zoom_in
default		00:00:13.900	13.9	00:00:15.390	15.39	00:00:01.490	1.49	zoom_in
default		00:00:17.520	17.52	00:00:19.130	19.13	00:00:01.610	1.61	zoom_in
default		00:00:20.390	20.39	00:00:21.750	21.75	00:00:01.360	1.36	zoom_in
default		00:00:23.000	23.0	00:00:24.250	24.25	00:00:01.250	1.25	zoom_in
default		00:00:25.250	25.25	00:00:26.490	26.49	00:00:01.240	1.24	zoom_in
default		00:00:27.860	27.86	00:00:29.170	29.17	00:00:01.310	1.31	zoom_in
default		00:00:30.210	30.21	00:00:31.700	31.7	00:00:01.490	1.49	zoom_in
default		00:00:32.700	32.7	00:00:34.030	34.03	00:00:01.330	1.33	zoom_in
default		00:00:35.320	35.32	00:00:36.830	36.83	00:00:01.510	1.51	zoom_in
default		00:00:37.620	37.62	00:00:38.840	38.84	00:00:01.220	1.22	zoom_in
default		00:00:39.810	39.81	00:00:41.180	41.18	00:00:01.370	1.37	zoom_in
default		00:00:42.080	42.08	00:00:43.580	43.58	00:00:01.500	1.5	zoom_in
default		00:00:44.650	44.65	00:00:46.090	46.09	00:00:01.440	1.44	zoom_in
default		00:00:47.160	47.16	00:00:48.530	48.53	00:00:01.370	1.37	zoom_in
default		00:00:49.900	49.9	00:00:51.190	51.19	00:00:01.290	1.29	zoom_in
default		00:00:51.980	51.98	00:00:53.300	53.3	00:00:01.320	1.32	zoom_in
default		00:00:54.670	54.67	00:00:56.080	56.08	00:00:01.410	1.41	zoom_in
default		00:00:57.060	57.06	00:00:58.390	58.39	00:00:01.330	1.33	zoom_in
default		00:00:59.560	59.56	00:01:00.990	60.99	00:00:01.430	1.43	zoom_in
default		00:01:01.940	61.94	00:01:03.420	63.42	00:00:01.480	1.48	zoom_in
default		00:01:04.450	64.45	00:01:05.740	65.74	00:00:01.290	1.29	zoom_in
default		00:01:06.910	66.91	00:01:08.060	68.06	00:00:01.150	1.15	zoom_in
default		00:01:09.510	69.51	00:01:10.780	70.78	00:00:01.270	1.27	zoom_in
default		00:01:11.920	71.92	00:01:13.250	73.25	00:00:01.330	1.33	zoom_in
